id,name,email,age,signup_date
2e0e2139-d2ce-465e-a459-6a7bdff9a776,Casey Galvan,pochoa@example.com,78,2020-02-08
aadac85e-ea7d-41f3-b32d-24fb779b18b2,Diana Ortiy,clintonwhite@example.com,54,2023-10-01
36e111c4-2fd9-4d4f-beaa-77ae9b594a9d,Sean Kirk,fitzgeraldjennifer@example.org,69,2022-02-06
beb82081-3891-4e01-9167-0ab56961ea91,Samantha Austin,santiagomichael@example.com,59,2022-09-17
6090b870-0e74-4020-95bc-2e9f161d395b,Claudia Smith,bushbryan@example.org,39,2024-12-02
ef2c7e6e-d9db-4262-bd08-2356f2426bda,Charles Dixon,velezbruce@example.com,20,2024-11-10
7c741551-0c19-4357-9869-206105be8fa0,Tracy Stone,andrew12@example.org,39,2021-07-12
68d16bf9-e22e-4469-8c88-ba67a814f67c,Alexis Johnson,nfoster@example.net,40,2024-04-07
ea1ea946-92b6-40e7-805e-c9db05a196f2,Jessica Williams,tlopez@example.org,29,2022-12-16
21cc73ef-8180-4cd6-bf81-f70d0225c02e,Nancy Gonzales,amanda98@example.com,74,2024-01-24
2dcea14a-dfbd-4955-a47c-10ba5c9b83a1,Kim Smith,unknown@example.com,44,2023-01-26
b9ea50f9-514e-4da2-9390-6dd2f081dd01,Corey Pearson,danielcolon@example.com,32,2024-10-08
f8a2e86f-18ec-4734-961e-dc0a7b2ebca4,Kathleen Edwards,craig09@example.org,57,2020-01-18
63d9318b-95dd-4fc9-b14e-c7040a345fc7,Vanessa Cook,rebekahcoleman@example.net,31,2024-10-27
370060a0-3613-4487-97ae-b8957bc79e0c,Jason Sharp,mckinneychad@example.com,24,2023-12-26
c964df27-30d4-411d-a999-3858fcbc4d58,Nathan Adams,omiranda@example.org,31,2021-08-09
d31e7e4e-992b-4bd7-9def-0973cdcdb2b1,Unknown,brendan95@example.net,49,2020-05-27
ae0c8e66-e44d-463d-8596-10208564f1cc,Michelle Johnson,kaylamarshall@example.net,20,2020-05-12
7cd63a22-5bcf-4006-9088-987eebbb5422,David Larson,unknown@example.com,31,2024-08-03
802b24af-41cd-407c-ab1c-b00e6ac1dc8e,Beth Graves,cory21@example.org,72,2020-03-28
bde81357-412c-4aac-8a87-aff2cbc9f0bc,Jeremy Huffman,loriramirez@example.org,33,2020-12-01
4b58369a-ad3d-48e0-9b0d-c38d2c6f421e,Christopher Dean,dixonkimberly@example.org,71,2022-04-15
026605d6-3124-4846-994c-a097bb66c683,Brendan Alvarez,zcantrell@example.net,26,2022-01-02
d3c54bcf-c105-450f-829f-3413b4685a4e,Marilyn Wright,bennettjonathan@example.com,57,2021-05-15
7905a14f-0d5d-494c-83b7-77f8f18ffba4,Victor Romero,stephensmichael7@example.net,66,2022-03-13
1931c52f-a5ce-4016-9b8d-c591201b9e6e,Anne Burnett,jessica71@example.org,61,2020-11-07
0522c7d6-8f92-4433-8c09-c2abece443e3,Sarah Ramirez,tammy89@example.com,33,2023-01-17
09ed9670-0b87-4551-8c52-e75cb14da95b,Pamela Perez,christinestephens@example.net,45,2023-01-05
4871cc2f-971e-4c4d-b422-b4a3b689f20e,Briana White,xgray@example.org,69,2021-09-30
